Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1961","hg/ha","17306"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1962","hg/ha","18527"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1963","hg/ha","13711"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1964","hg/ha","13235"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1965","hg/ha","11737"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1966","hg/ha","13922"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1967","hg/ha","15871"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1968","hg/ha","15868"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1969","hg/ha","18581"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1970","hg/ha","19621"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1971","hg/ha","16024"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1972","hg/ha","16175"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1973","hg/ha","24251"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1974","hg/ha","29040"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1975","hg/ha","27178"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1976","hg/ha","19647"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1977","hg/ha","15034"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1978","hg/ha","15917"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1979","hg/ha","21759"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1980","hg/ha","13797"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1981","hg/ha","13643"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1982","hg/ha","14825"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1983","hg/ha","15797"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1984","hg/ha","15571"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1985","hg/ha","12394"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1986","hg/ha","21359"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1987","hg/ha","10630"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1988","hg/ha","21685"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1989","hg/ha","22286"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1990","hg/ha","15500"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1991","hg/ha","16000"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1992","hg/ha","12333"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1993","hg/ha","22571"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1994","hg/ha","16702"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1995","hg/ha","16387"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1996","hg/ha","16519"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1997","hg/ha","12497"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1998","hg/ha","10707"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","1999","hg/ha","5263"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2000","hg/ha","6500"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2001","hg/ha","7292"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2002","hg/ha","7294"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2003","hg/ha","7928"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2004","hg/ha","8190"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2005","hg/ha","8728"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2006","hg/ha","8091"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2007","hg/ha","7255"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2008","hg/ha","7008"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2009","hg/ha","5147"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2010","hg/ha","5801"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2011","hg/ha","9227"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2012","hg/ha","9772"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2013","hg/ha","9664"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2014","hg/ha","14542"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2015","hg/ha","21460"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2016","hg/ha","15584"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2017","hg/ha","16604"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2018","hg/ha","20040"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2019","hg/ha","19410"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2020","hg/ha","29442"
"Crops and livestock products","Brunei Darussalam","Yield","Rice","2021","hg/ha","28852"
