Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Cambodia","Yield","Rice","1961","hg/ha","10921"
"Crops and livestock products","Cambodia","Yield","Rice","1962","hg/ha","8920"
"Crops and livestock products","Cambodia","Yield","Rice","1963","hg/ha","11742"
"Crops and livestock products","Cambodia","Yield","Rice","1964","hg/ha","11611"
"Crops and livestock products","Cambodia","Yield","Rice","1965","hg/ha","10666"
"Crops and livestock products","Cambodia","Yield","Rice","1966","hg/ha","10889"
"Crops and livestock products","Cambodia","Yield","Rice","1967","hg/ha","12163"
"Crops and livestock products","Cambodia","Yield","Rice","1968","hg/ha","13989"
"Crops and livestock products","Cambodia","Yield","Rice","1969","hg/ha","12876"
"Crops and livestock products","Cambodia","Yield","Rice","1970","hg/ha","15898"
"Crops and livestock products","Cambodia","Yield","Rice","1971","hg/ha","14532"
"Crops and livestock products","Cambodia","Yield","Rice","1972","hg/ha","13774"
"Crops and livestock products","Cambodia","Yield","Rice","1973","hg/ha","12947"
"Crops and livestock products","Cambodia","Yield","Rice","1974","hg/ha","11441"
"Crops and livestock products","Cambodia","Yield","Rice","1975","hg/ha","12000"
"Crops and livestock products","Cambodia","Yield","Rice","1976","hg/ha","11000"
"Crops and livestock products","Cambodia","Yield","Rice","1977","hg/ha","10000"
"Crops and livestock products","Cambodia","Yield","Rice","1978","hg/ha","10000"
"Crops and livestock products","Cambodia","Yield","Rice","1979","hg/ha","6951"
"Crops and livestock products","Cambodia","Yield","Rice","1980","hg/ha","11924"
"Crops and livestock products","Cambodia","Yield","Rice","1981","hg/ha","11314"
"Crops and livestock products","Cambodia","Yield","Rice","1982","hg/ha","12068"
"Crops and livestock products","Cambodia","Yield","Rice","1983","hg/ha","12649"
"Crops and livestock products","Cambodia","Yield","Rice","1984","hg/ha","12883"
"Crops and livestock products","Cambodia","Yield","Rice","1985","hg/ha","12497"
"Crops and livestock products","Cambodia","Yield","Rice","1986","hg/ha","13770"
"Crops and livestock products","Cambodia","Yield","Rice","1987","hg/ha","13248"
"Crops and livestock products","Cambodia","Yield","Rice","1988","hg/ha","13699"
"Crops and livestock products","Cambodia","Yield","Rice","1989","hg/ha","14358"
"Crops and livestock products","Cambodia","Yield","Rice","1990","hg/ha","13477"
"Crops and livestock products","Cambodia","Yield","Rice","1991","hg/ha","13962"
"Crops and livestock products","Cambodia","Yield","Rice","1992","hg/ha","13178"
"Crops and livestock products","Cambodia","Yield","Rice","1993","hg/ha","13069"
"Crops and livestock products","Cambodia","Yield","Rice","1994","hg/ha","14877"
"Crops and livestock products","Cambodia","Yield","Rice","1995","hg/ha","17920"
"Crops and livestock products","Cambodia","Yield","Rice","1996","hg/ha","18116"
"Crops and livestock products","Cambodia","Yield","Rice","1997","hg/ha","17706"
"Crops and livestock products","Cambodia","Yield","Rice","1998","hg/ha","17884"
"Crops and livestock products","Cambodia","Yield","Rice","1999","hg/ha","19433"
"Crops and livestock products","Cambodia","Yield","Rice","2000","hg/ha","21155"
"Crops and livestock products","Cambodia","Yield","Rice","2001","hg/ha","20699"
"Crops and livestock products","Cambodia","Yield","Rice","2002","hg/ha","19164"
"Crops and livestock products","Cambodia","Yield","Rice","2003","hg/ha","21012"
"Crops and livestock products","Cambodia","Yield","Rice","2004","hg/ha","19773"
"Crops and livestock products","Cambodia","Yield","Rice","2005","hg/ha","24793"
"Crops and livestock products","Cambodia","Yield","Rice","2006","hg/ha","24893"
"Crops and livestock products","Cambodia","Yield","Rice","2007","hg/ha","26216"
"Crops and livestock products","Cambodia","Yield","Rice","2008","hg/ha","27457"
"Crops and livestock products","Cambodia","Yield","Rice","2009","hg/ha","28363"
"Crops and livestock products","Cambodia","Yield","Rice","2010","hg/ha","29697"
"Crops and livestock products","Cambodia","Yield","Rice","2011","hg/ha","29574"
"Crops and livestock products","Cambodia","Yield","Rice","2012","hg/ha","30892"
"Crops and livestock products","Cambodia","Yield","Rice","2013","hg/ha","31691"
"Crops and livestock products","Cambodia","Yield","Rice","2014","hg/ha","32611"
"Crops and livestock products","Cambodia","Yield","Rice","2015","hg/ha","33350"
"Crops and livestock products","Cambodia","Yield","Rice","2016","hg/ha","34443"
"Crops and livestock products","Cambodia","Yield","Rice","2017","hg/ha","33974"
"Crops and livestock products","Cambodia","Yield","Rice","2018","hg/ha","34011"
"Crops and livestock products","Cambodia","Yield","Rice","2019","hg/ha","33353"
"Crops and livestock products","Cambodia","Yield","Rice","2020","hg/ha","33851"
"Crops and livestock products","Cambodia","Yield","Rice","2021","hg/ha","35075"
