Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Indonesia","Yield","Rice","1961","hg/ha","17623"
"Crops and livestock products","Indonesia","Yield","Rice","1962","hg/ha","17855"
"Crops and livestock products","Indonesia","Yield","Rice","1963","hg/ha","17226"
"Crops and livestock products","Indonesia","Yield","Rice","1964","hg/ha","17630"
"Crops and livestock products","Indonesia","Yield","Rice","1965","hg/ha","17708"
"Crops and livestock products","Indonesia","Yield","Rice","1966","hg/ha","17748"
"Crops and livestock products","Indonesia","Yield","Rice","1967","hg/ha","17592"
"Crops and livestock products","Indonesia","Yield","Rice","1968","hg/ha","21398"
"Crops and livestock products","Indonesia","Yield","Rice","1969","hg/ha","22487"
"Crops and livestock products","Indonesia","Yield","Rice","1970","hg/ha","23763"
"Crops and livestock products","Indonesia","Yield","Rice","1971","hg/ha","24254"
"Crops and livestock products","Indonesia","Yield","Rice","1972","hg/ha","24556"
"Crops and livestock products","Indonesia","Yield","Rice","1973","hg/ha","25572"
"Crops and livestock products","Indonesia","Yield","Rice","1974","hg/ha","26412"
"Crops and livestock products","Indonesia","Yield","Rice","1975","hg/ha","26297"
"Crops and livestock products","Indonesia","Yield","Rice","1976","hg/ha","27843"
"Crops and livestock products","Indonesia","Yield","Rice","1977","hg/ha","27929"
"Crops and livestock products","Indonesia","Yield","Rice","1978","hg/ha","28862"
"Crops and livestock products","Indonesia","Yield","Rice","1979","hg/ha","29855"
"Crops and livestock products","Indonesia","Yield","Rice","1980","hg/ha","32928"
"Crops and livestock products","Indonesia","Yield","Rice","1981","hg/ha","34934"
"Crops and livestock products","Indonesia","Yield","Rice","1982","hg/ha","37363"
"Crops and livestock products","Indonesia","Yield","Rice","1983","hg/ha","38530"
"Crops and livestock products","Indonesia","Yield","Rice","1984","hg/ha","39060"
"Crops and livestock products","Indonesia","Yield","Rice","1985","hg/ha","39418"
"Crops and livestock products","Indonesia","Yield","Rice","1986","hg/ha","39773"
"Crops and livestock products","Indonesia","Yield","Rice","1987","hg/ha","40391"
"Crops and livestock products","Indonesia","Yield","Rice","1988","hg/ha","41108"
"Crops and livestock products","Indonesia","Yield","Rice","1989","hg/ha","42470"
"Crops and livestock products","Indonesia","Yield","Rice","1990","hg/ha","43018"
"Crops and livestock products","Indonesia","Yield","Rice","1991","hg/ha","43465"
"Crops and livestock products","Indonesia","Yield","Rice","1992","hg/ha","43446"
"Crops and livestock products","Indonesia","Yield","Rice","1993","hg/ha","43750"
"Crops and livestock products","Indonesia","Yield","Rice","1994","hg/ha","43453"
"Crops and livestock products","Indonesia","Yield","Rice","1995","hg/ha","43487"
"Crops and livestock products","Indonesia","Yield","Rice","1996","hg/ha","44168"
"Crops and livestock products","Indonesia","Yield","Rice","1997","hg/ha","44322"
"Crops and livestock products","Indonesia","Yield","Rice","1998","hg/ha","41974"
"Crops and livestock products","Indonesia","Yield","Rice","1999","hg/ha","42519"
"Crops and livestock products","Indonesia","Yield","Rice","2000","hg/ha","44007"
"Crops and livestock products","Indonesia","Yield","Rice","2001","hg/ha","43879"
"Crops and livestock products","Indonesia","Yield","Rice","2002","hg/ha","44691"
"Crops and livestock products","Indonesia","Yield","Rice","2003","hg/ha","45426"
"Crops and livestock products","Indonesia","Yield","Rice","2004","hg/ha","45365"
"Crops and livestock products","Indonesia","Yield","Rice","2005","hg/ha","45739"
"Crops and livestock products","Indonesia","Yield","Rice","2006","hg/ha","46201"
"Crops and livestock products","Indonesia","Yield","Rice","2007","hg/ha","46468"
"Crops and livestock products","Indonesia","Yield","Rice","2008","hg/ha","49165"
"Crops and livestock products","Indonesia","Yield","Rice","2009","hg/ha","50105"
"Crops and livestock products","Indonesia","Yield","Rice","2010","hg/ha","50253"
"Crops and livestock products","Indonesia","Yield","Rice","2011","hg/ha","49995"
"Crops and livestock products","Indonesia","Yield","Rice","2012","hg/ha","51510"
"Crops and livestock products","Indonesia","Yield","Rice","2013","hg/ha","51668"
"Crops and livestock products","Indonesia","Yield","Rice","2014","hg/ha","51477"
"Crops and livestock products","Indonesia","Yield","Rice","2015","hg/ha","53588"
"Crops and livestock products","Indonesia","Yield","Rice","2016","hg/ha","50973"
"Crops and livestock products","Indonesia","Yield","Rice","2017","hg/ha","50690"
"Crops and livestock products","Indonesia","Yield","Rice","2018","hg/ha","52031"
"Crops and livestock products","Indonesia","Yield","Rice","2019","hg/ha","51137"
"Crops and livestock products","Indonesia","Yield","Rice","2020","hg/ha","51279"
"Crops and livestock products","Indonesia","Yield","Rice","2021","hg/ha","52263"
