Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1961","hg/ha","8710"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1962","hg/ha","8644"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1963","hg/ha","8667"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1964","hg/ha","8024"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1965","hg/ha","8079"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1966","hg/ha","8108"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1967","hg/ha","8448"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1968","hg/ha","11753"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1969","hg/ha","13471"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1970","hg/ha","13589"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1971","hg/ha","12204"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1972","hg/ha","12287"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1973","hg/ha","13290"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1974","hg/ha","13190"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1975","hg/ha","13382"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1976","hg/ha","12600"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1977","hg/ha","12345"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1978","hg/ha","12512"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1979","hg/ha","12577"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1980","hg/ha","14386"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1981","hg/ha","15498"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1982","hg/ha","14825"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1983","hg/ha","15851"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1984","hg/ha","20166"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1985","hg/ha","21028"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1986","hg/ha","22588"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1987","hg/ha","22272"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1988","hg/ha","19118"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1989","hg/ha","23552"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1990","hg/ha","22935"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1991","hg/ha","21977"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1992","hg/ha","26555"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1993","hg/ha","22668"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1994","hg/ha","25812"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1995","hg/ha","25323"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1996","hg/ha","25526"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1997","hg/ha","27607"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1998","hg/ha","27116"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","1999","hg/ha","29304"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2000","hg/ha","30606"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2001","hg/ha","31264"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2002","hg/ha","32739"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2003","hg/ha","31403"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2004","hg/ha","32831"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2005","hg/ha","34890"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2006","hg/ha","35855"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2007","hg/ha","37233"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2008","hg/ha","37772"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2009","hg/ha","38419"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2010","hg/ha","35909"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2011","hg/ha","37513"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2012","hg/ha","37367"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2013","hg/ha","38315"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2014","hg/ha","41786"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2015","hg/ha","42501"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2016","hg/ha","42625"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2017","hg/ha","42251"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2018","hg/ha","42264"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2019","hg/ha","41548"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2020","hg/ha","38181"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Rice","2021","hg/ha","41031"
