Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Malaysia","Yield","Rice","1961","hg/ha","21086"
"Crops and livestock products","Malaysia","Yield","Rice","1962","hg/ha","20678"
"Crops and livestock products","Malaysia","Yield","Rice","1963","hg/ha","21525"
"Crops and livestock products","Malaysia","Yield","Rice","1964","hg/ha","19968"
"Crops and livestock products","Malaysia","Yield","Rice","1965","hg/ha","21578"
"Crops and livestock products","Malaysia","Yield","Rice","1966","hg/ha","21408"
"Crops and livestock products","Malaysia","Yield","Rice","1967","hg/ha","20165"
"Crops and livestock products","Malaysia","Yield","Rice","1968","hg/ha","21714"
"Crops and livestock products","Malaysia","Yield","Rice","1969","hg/ha","23246"
"Crops and livestock products","Malaysia","Yield","Rice","1970","hg/ha","23858"
"Crops and livestock products","Malaysia","Yield","Rice","1971","hg/ha","24736"
"Crops and livestock products","Malaysia","Yield","Rice","1972","hg/ha","23980"
"Crops and livestock products","Malaysia","Yield","Rice","1973","hg/ha","26342"
"Crops and livestock products","Malaysia","Yield","Rice","1974","hg/ha","28311"
"Crops and livestock products","Malaysia","Yield","Rice","1975","hg/ha","26615"
"Crops and livestock products","Malaysia","Yield","Rice","1976","hg/ha","27217"
"Crops and livestock products","Malaysia","Yield","Rice","1977","hg/ha","26252"
"Crops and livestock products","Malaysia","Yield","Rice","1978","hg/ha","25695"
"Crops and livestock products","Malaysia","Yield","Rice","1979","hg/ha","28388"
"Crops and livestock products","Malaysia","Yield","Rice","1980","hg/ha","28524"
"Crops and livestock products","Malaysia","Yield","Rice","1981","hg/ha","28409"
"Crops and livestock products","Malaysia","Yield","Rice","1982","hg/ha","27619"
"Crops and livestock products","Malaysia","Yield","Rice","1983","hg/ha","26041"
"Crops and livestock products","Malaysia","Yield","Rice","1984","hg/ha","25187"
"Crops and livestock products","Malaysia","Yield","Rice","1985","hg/ha","26648"
"Crops and livestock products","Malaysia","Yield","Rice","1986","hg/ha","26399"
"Crops and livestock products","Malaysia","Yield","Rice","1987","hg/ha","24686"
"Crops and livestock products","Malaysia","Yield","Rice","1988","hg/ha","25251"
"Crops and livestock products","Malaysia","Yield","Rice","1989","hg/ha","26251"
"Crops and livestock products","Malaysia","Yield","Rice","1990","hg/ha","27694"
"Crops and livestock products","Malaysia","Yield","Rice","1991","hg/ha","28178"
"Crops and livestock products","Malaysia","Yield","Rice","1992","hg/ha","29918"
"Crops and livestock products","Malaysia","Yield","Rice","1993","hg/ha","30348"
"Crops and livestock products","Malaysia","Yield","Rice","1994","hg/ha","30614"
"Crops and livestock products","Malaysia","Yield","Rice","1995","hg/ha","31619"
"Crops and livestock products","Malaysia","Yield","Rice","1996","hg/ha","32510"
"Crops and livestock products","Malaysia","Yield","Rice","1997","hg/ha","30676"
"Crops and livestock products","Malaysia","Yield","Rice","1998","hg/ha","28829"
"Crops and livestock products","Malaysia","Yield","Rice","1999","hg/ha","29415"
"Crops and livestock products","Malaysia","Yield","Rice","2000","hg/ha","30640"
"Crops and livestock products","Malaysia","Yield","Rice","2001","hg/ha","31101"
"Crops and livestock products","Malaysia","Yield","Rice","2002","hg/ha","32385"
"Crops and livestock products","Malaysia","Yield","Rice","2003","hg/ha","33596"
"Crops and livestock products","Malaysia","Yield","Rice","2004","hg/ha","33260"
"Crops and livestock products","Malaysia","Yield","Rice","2005","hg/ha","34221"
"Crops and livestock products","Malaysia","Yield","Rice","2006","hg/ha","33907"
"Crops and livestock products","Malaysia","Yield","Rice","2007","hg/ha","35277"
"Crops and livestock products","Malaysia","Yield","Rice","2008","hg/ha","35836"
"Crops and livestock products","Malaysia","Yield","Rice","2009","hg/ha","37205"
"Crops and livestock products","Malaysia","Yield","Rice","2010","hg/ha","36361"
"Crops and livestock products","Malaysia","Yield","Rice","2011","hg/ha","37468"
"Crops and livestock products","Malaysia","Yield","Rice","2012","hg/ha","37972"
"Crops and livestock products","Malaysia","Yield","Rice","2013","hg/ha","38763"
"Crops and livestock products","Malaysia","Yield","Rice","2014","hg/ha","29855"
"Crops and livestock products","Malaysia","Yield","Rice","2015","hg/ha","40223"
"Crops and livestock products","Malaysia","Yield","Rice","2016","hg/ha","39775"
"Crops and livestock products","Malaysia","Yield","Rice","2017","hg/ha","37496"
"Crops and livestock products","Malaysia","Yield","Rice","2018","hg/ha","37704"
"Crops and livestock products","Malaysia","Yield","Rice","2019","hg/ha","35009"
"Crops and livestock products","Malaysia","Yield","Rice","2020","hg/ha","36538"
"Crops and livestock products","Malaysia","Yield","Rice","2021","hg/ha","37452"
