Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Philippines","Yield","Rice","1961","hg/ha","12299"
"Crops and livestock products","Philippines","Yield","Rice","1962","hg/ha","12548"
"Crops and livestock products","Philippines","Yield","Rice","1963","hg/ha","12447"
"Crops and livestock products","Philippines","Yield","Rice","1964","hg/ha","12478"
"Crops and livestock products","Philippines","Yield","Rice","1965","hg/ha","13099"
"Crops and livestock products","Philippines","Yield","Rice","1966","hg/ha","13223"
"Crops and livestock products","Philippines","Yield","Rice","1967","hg/ha","13804"
"Crops and livestock products","Philippines","Yield","Rice","1968","hg/ha","13339"
"Crops and livestock products","Philippines","Yield","Rice","1969","hg/ha","17098"
"Crops and livestock products","Philippines","Yield","Rice","1970","hg/ha","17460"
"Crops and livestock products","Philippines","Yield","Rice","1971","hg/ha","15980"
"Crops and livestock products","Philippines","Yield","Rice","1972","hg/ha","14431"
"Crops and livestock products","Philippines","Yield","Rice","1973","hg/ha","14624"
"Crops and livestock products","Philippines","Yield","Rice","1974","hg/ha","15458"
"Crops and livestock products","Philippines","Yield","Rice","1975","hg/ha","16636"
"Crops and livestock products","Philippines","Yield","Rice","1976","hg/ha","17967"
"Crops and livestock products","Philippines","Yield","Rice","1977","hg/ha","20142"
"Crops and livestock products","Philippines","Yield","Rice","1978","hg/ha","20253"
"Crops and livestock products","Philippines","Yield","Rice","1979","hg/ha","21131"
"Crops and livestock products","Philippines","Yield","Rice","1980","hg/ha","22105"
"Crops and livestock products","Philippines","Yield","Rice","1981","hg/ha","22977"
"Crops and livestock products","Philippines","Yield","Rice","1982","hg/ha","26342"
"Crops and livestock products","Philippines","Yield","Rice","1983","hg/ha","23227"
"Crops and livestock products","Philippines","Yield","Rice","1984","hg/ha","24300"
"Crops and livestock products","Philippines","Yield","Rice","1985","hg/ha","25879"
"Crops and livestock products","Philippines","Yield","Rice","1986","hg/ha","27173"
"Crops and livestock products","Philippines","Yield","Rice","1987","hg/ha","26229"
"Crops and livestock products","Philippines","Yield","Rice","1988","hg/ha","26442"
"Crops and livestock products","Philippines","Yield","Rice","1989","hg/ha","27046"
"Crops and livestock products","Philippines","Yield","Rice","1990","hg/ha","29786"
"Crops and livestock products","Philippines","Yield","Rice","1991","hg/ha","28243"
"Crops and livestock products","Philippines","Yield","Rice","1992","hg/ha","28545"
"Crops and livestock products","Philippines","Yield","Rice","1993","hg/ha","28742"
"Crops and livestock products","Philippines","Yield","Rice","1994","hg/ha","28859"
"Crops and livestock products","Philippines","Yield","Rice","1995","hg/ha","28043"
"Crops and livestock products","Philippines","Yield","Rice","1996","hg/ha","28558"
"Crops and livestock products","Philippines","Yield","Rice","1997","hg/ha","29329"
"Crops and livestock products","Philippines","Yield","Rice","1998","hg/ha","26986"
"Crops and livestock products","Philippines","Yield","Rice","1999","hg/ha","29468"
"Crops and livestock products","Philippines","Yield","Rice","2000","hg/ha","30681"
"Crops and livestock products","Philippines","Yield","Rice","2001","hg/ha","31866"
"Crops and livestock products","Philippines","Yield","Rice","2002","hg/ha","32797"
"Crops and livestock products","Philippines","Yield","Rice","2003","hg/ha","33696"
"Crops and livestock products","Philippines","Yield","Rice","2004","hg/ha","35130"
"Crops and livestock products","Philippines","Yield","Rice","2005","hg/ha","35876"
"Crops and livestock products","Philippines","Yield","Rice","2006","hg/ha","36844"
"Crops and livestock products","Philippines","Yield","Rice","2007","hg/ha","38008"
"Crops and livestock products","Philippines","Yield","Rice","2008","hg/ha","37703"
"Crops and livestock products","Philippines","Yield","Rice","2009","hg/ha","35890"
"Crops and livestock products","Philippines","Yield","Rice","2010","hg/ha","36224"
"Crops and livestock products","Philippines","Yield","Rice","2011","hg/ha","36776"
"Crops and livestock products","Philippines","Yield","Rice","2012","hg/ha","38448"
"Crops and livestock products","Philippines","Yield","Rice","2013","hg/ha","38852"
"Crops and livestock products","Philippines","Yield","Rice","2014","hg/ha","40019"
"Crops and livestock products","Philippines","Yield","Rice","2015","hg/ha","38980"
"Crops and livestock products","Philippines","Yield","Rice","2016","hg/ha","38690"
"Crops and livestock products","Philippines","Yield","Rice","2017","hg/ha","40061"
"Crops and livestock products","Philippines","Yield","Rice","2018","hg/ha","39718"
"Crops and livestock products","Philippines","Yield","Rice","2019","hg/ha","40449"
"Crops and livestock products","Philippines","Yield","Rice","2020","hg/ha","40888"
"Crops and livestock products","Philippines","Yield","Rice","2021","hg/ha","41540"
