Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Yield","Rice","1961","hg/ha","16585"
"Crops and livestock products","Thailand","Yield","Rice","1962","hg/ha","17202"
"Crops and livestock products","Thailand","Yield","Rice","1963","hg/ha","18725"
"Crops and livestock products","Thailand","Yield","Rice","1964","hg/ha","18384"
"Crops and livestock products","Thailand","Yield","Rice","1965","hg/ha","17805"
"Crops and livestock products","Thailand","Yield","Rice","1966","hg/ha","18360"
"Crops and livestock products","Thailand","Yield","Rice","1967","hg/ha","17497"
"Crops and livestock products","Thailand","Yield","Rice","1968","hg/ha","17882"
"Crops and livestock products","Thailand","Yield","Rice","1969","hg/ha","18474"
"Crops and livestock products","Thailand","Yield","Rice","1970","hg/ha","20207"
"Crops and livestock products","Thailand","Yield","Rice","1971","hg/ha","19369"
"Crops and livestock products","Thailand","Yield","Rice","1972","hg/ha","18308"
"Crops and livestock products","Thailand","Yield","Rice","1973","hg/ha","19242"
"Crops and livestock products","Thailand","Yield","Rice","1974","hg/ha","18254"
"Crops and livestock products","Thailand","Yield","Rice","1975","hg/ha","18308"
"Crops and livestock products","Thailand","Yield","Rice","1976","hg/ha","18450"
"Crops and livestock products","Thailand","Yield","Rice","1977","hg/ha","15910"
"Crops and livestock products","Thailand","Yield","Rice","1978","hg/ha","19552"
"Crops and livestock products","Thailand","Yield","Rice","1979","hg/ha","18209"
"Crops and livestock products","Thailand","Yield","Rice","1980","hg/ha","18878"
"Crops and livestock products","Thailand","Yield","Rice","1981","hg/ha","19521"
"Crops and livestock products","Thailand","Yield","Rice","1982","hg/ha","18880"
"Crops and livestock products","Thailand","Yield","Rice","1983","hg/ha","20351"
"Crops and livestock products","Thailand","Yield","Rice","1984","hg/ha","20670"
"Crops and livestock products","Thailand","Yield","Rice","1985","hg/ha","20608"
"Crops and livestock products","Thailand","Yield","Rice","1986","hg/ha","20522"
"Crops and livestock products","Thailand","Yield","Rice","1987","hg/ha","20147"
"Crops and livestock products","Thailand","Yield","Rice","1988","hg/ha","21465"
"Crops and livestock products","Thailand","Yield","Rice","1989","hg/ha","20853"
"Crops and livestock products","Thailand","Yield","Rice","1990","hg/ha","19556"
"Crops and livestock products","Thailand","Yield","Rice","1991","hg/ha","22534"
"Crops and livestock products","Thailand","Yield","Rice","1992","hg/ha","21745"
"Crops and livestock products","Thailand","Yield","Rice","1993","hg/ha","20497"
"Crops and livestock products","Thailand","Yield","Rice","1994","hg/ha","23521"
"Crops and livestock products","Thailand","Yield","Rice","1995","hg/ha","24158"
"Crops and livestock products","Thailand","Yield","Rice","1996","hg/ha","24098"
"Crops and livestock products","Thailand","Yield","Rice","1997","hg/ha","23788"
"Crops and livestock products","Thailand","Yield","Rice","1998","hg/ha","24180"
"Crops and livestock products","Thailand","Yield","Rice","1999","hg/ha","24244"
"Crops and livestock products","Thailand","Yield","Rice","2000","hg/ha","26128"
"Crops and livestock products","Thailand","Yield","Rice","2001","hg/ha","28739"
"Crops and livestock products","Thailand","Yield","Rice","2002","hg/ha","29338"
"Crops and livestock products","Thailand","Yield","Rice","2003","hg/ha","29339"
"Crops and livestock products","Thailand","Yield","Rice","2004","hg/ha","28895"
"Crops and livestock products","Thailand","Yield","Rice","2005","hg/ha","29974"
"Crops and livestock products","Thailand","Yield","Rice","2006","hg/ha","29503"
"Crops and livestock products","Thailand","Yield","Rice","2007","hg/ha","30441"
"Crops and livestock products","Thailand","Yield","Rice","2008","hg/ha","29974"
"Crops and livestock products","Thailand","Yield","Rice","2009","hg/ha","29079"
"Crops and livestock products","Thailand","Yield","Rice","2010","hg/ha","29921"
"Crops and livestock products","Thailand","Yield","Rice","2011","hg/ha","31867"
"Crops and livestock products","Thailand","Yield","Rice","2012","hg/ha","31865"
"Crops and livestock products","Thailand","Yield","Rice","2013","hg/ha","31463"
"Crops and livestock products","Thailand","Yield","Rice","2014","hg/ha","30586"
"Crops and livestock products","Thailand","Yield","Rice","2015","hg/ha","28506"
"Crops and livestock products","Thailand","Yield","Rice","2016","hg/ha","29678"
"Crops and livestock products","Thailand","Yield","Rice","2017","hg/ha","30690"
"Crops and livestock products","Thailand","Yield","Rice","2018","hg/ha","30380"
"Crops and livestock products","Thailand","Yield","Rice","2019","hg/ha","29164"
"Crops and livestock products","Thailand","Yield","Rice","2020","hg/ha","29064"
"Crops and livestock products","Thailand","Yield","Rice","2021","hg/ha","29867"
