Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Viet Nam","Yield","Rice","1961","hg/ha","18966"
"Crops and livestock products","Viet Nam","Yield","Rice","1962","hg/ha","19937"
"Crops and livestock products","Viet Nam","Yield","Rice","1963","hg/ha","21400"
"Crops and livestock products","Viet Nam","Yield","Rice","1964","hg/ha","19441"
"Crops and livestock products","Viet Nam","Yield","Rice","1965","hg/ha","19414"
"Crops and livestock products","Viet Nam","Yield","Rice","1966","hg/ha","18079"
"Crops and livestock products","Viet Nam","Yield","Rice","1967","hg/ha","19159"
"Crops and livestock products","Viet Nam","Yield","Rice","1968","hg/ha","17095"
"Crops and livestock products","Viet Nam","Yield","Rice","1969","hg/ha","17880"
"Crops and livestock products","Viet Nam","Yield","Rice","1970","hg/ha","21534"
"Crops and livestock products","Viet Nam","Yield","Rice","1971","hg/ha","22265"
"Crops and livestock products","Viet Nam","Yield","Rice","1972","hg/ha","21935"
"Crops and livestock products","Viet Nam","Yield","Rice","1973","hg/ha","22117"
"Crops and livestock products","Viet Nam","Yield","Rice","1974","hg/ha","21564"
"Crops and livestock products","Viet Nam","Yield","Rice","1975","hg/ha","21198"
"Crops and livestock products","Viet Nam","Yield","Rice","1976","hg/ha","22327"
"Crops and livestock products","Viet Nam","Yield","Rice","1977","hg/ha","19378"
"Crops and livestock products","Viet Nam","Yield","Rice","1978","hg/ha","17922"
"Crops and livestock products","Viet Nam","Yield","Rice","1979","hg/ha","20716"
"Crops and livestock products","Viet Nam","Yield","Rice","1980","hg/ha","20798"
"Crops and livestock products","Viet Nam","Yield","Rice","1981","hg/ha","21966"
"Crops and livestock products","Viet Nam","Yield","Rice","1982","hg/ha","25194"
"Crops and livestock products","Viet Nam","Yield","Rice","1983","hg/ha","26272"
"Crops and livestock products","Viet Nam","Yield","Rice","1984","hg/ha","27323"
"Crops and livestock products","Viet Nam","Yield","Rice","1985","hg/ha","27761"
"Crops and livestock products","Viet Nam","Yield","Rice","1986","hg/ha","28060"
"Crops and livestock products","Viet Nam","Yield","Rice","1987","hg/ha","26954"
"Crops and livestock products","Viet Nam","Yield","Rice","1988","hg/ha","29613"
"Crops and livestock products","Viet Nam","Yield","Rice","1989","hg/ha","32136"
"Crops and livestock products","Viet Nam","Yield","Rice","1990","hg/ha","31815"
"Crops and livestock products","Viet Nam","Yield","Rice","1991","hg/ha","31133"
"Crops and livestock products","Viet Nam","Yield","Rice","1992","hg/ha","33342"
"Crops and livestock products","Viet Nam","Yield","Rice","1993","hg/ha","34815"
"Crops and livestock products","Viet Nam","Yield","Rice","1994","hg/ha","35657"
"Crops and livestock products","Viet Nam","Yield","Rice","1995","hg/ha","36898"
"Crops and livestock products","Viet Nam","Yield","Rice","1996","hg/ha","37689"
"Crops and livestock products","Viet Nam","Yield","Rice","1997","hg/ha","38768"
"Crops and livestock products","Viet Nam","Yield","Rice","1998","hg/ha","40007"
"Crops and livestock products","Viet Nam","Yield","Rice","1999","hg/ha","41018"
"Crops and livestock products","Viet Nam","Yield","Rice","2000","hg/ha","42432"
"Crops and livestock products","Viet Nam","Yield","Rice","2001","hg/ha","42853"
"Crops and livestock products","Viet Nam","Yield","Rice","2002","hg/ha","45903"
"Crops and livestock products","Viet Nam","Yield","Rice","2003","hg/ha","46387"
"Crops and livestock products","Viet Nam","Yield","Rice","2004","hg/ha","48553"
"Crops and livestock products","Viet Nam","Yield","Rice","2005","hg/ha","48891"
"Crops and livestock products","Viet Nam","Yield","Rice","2006","hg/ha","48943"
"Crops and livestock products","Viet Nam","Yield","Rice","2007","hg/ha","49869"
"Crops and livestock products","Viet Nam","Yield","Rice","2008","hg/ha","52336"
"Crops and livestock products","Viet Nam","Yield","Rice","2009","hg/ha","52372"
"Crops and livestock products","Viet Nam","Yield","Rice","2010","hg/ha","53416"
"Crops and livestock products","Viet Nam","Yield","Rice","2011","hg/ha","55383"
"Crops and livestock products","Viet Nam","Yield","Rice","2012","hg/ha","56353"
"Crops and livestock products","Viet Nam","Yield","Rice","2013","hg/ha","55726"
"Crops and livestock products","Viet Nam","Yield","Rice","2014","hg/ha","57538"
"Crops and livestock products","Viet Nam","Yield","Rice","2015","hg/ha","57597"
"Crops and livestock products","Viet Nam","Yield","Rice","2016","hg/ha","55738"
"Crops and livestock products","Viet Nam","Yield","Rice","2017","hg/ha","55476"
"Crops and livestock products","Viet Nam","Yield","Rice","2018","hg/ha","58180"
"Crops and livestock products","Viet Nam","Yield","Rice","2019","hg/ha","58371"
"Crops and livestock products","Viet Nam","Yield","Rice","2020","hg/ha","59212"
"Crops and livestock products","Viet Nam","Yield","Rice","2021","hg/ha","60740"
